,index,split
788,1464,train
789,1465,train
790,1466,train
791,1467,train
792,1468,test
793,1470,train
794,1473,train
795,1474,train
796,1477,train
797,1478,train
798,1479,train
799,1480,train
800,1481,validate
801,1485,test
802,1487,train
803,1489,train
804,1491,train
805,1493,train
806,1494,train
807,1495,test
808,1496,test
809,1497,test
810,1498,test
811,1499,test
812,1500,test
813,1506,train
814,1507,train
815,1508,train
816,1517,train
817,1519,test
818,1525,train
819,1527,train
820,1529,train
821,1530,train
822,1532,train
823,1533,train
824,1534,train
825,1535,train
826,1536,train
827,1538,train
828,1539,train
829,1546,test
830,1547,train
831,1549,train
832,1551,train
833,1552,train
834,1553,test
835,1554,train
836,1555,train
837,1556,train
838,1558,train
839,1559,train
840,1560,train
841,1561,train
842,1562,train
843,1563,train
844,1564,train
845,1565,train
846,1567,train
847,1569,train
848,1570,train
849,1571,train
850,1572,train
851,1573,train
852,1574,train
853,1575,train
854,1576,train
855,1577,train
856,1579,train
857,1581,train
858,1583,train
859,1584,train
860,1585,test
861,1587,test
862,1589,train
863,1591,test
864,1592,train
865,1594,test
866,1595,train
867,1596,train
868,1598,test
869,1603,train
870,1618,train
871,1620,train
872,1622,train
873,1624,train
874,1625,train
875,1626,train
876,1627,train
877,1628,validate
878,1631,test
879,1633,test
880,1635,train
881,1637,test
882,1639,test
883,1641,test
884,1642,test
885,1643,test
886,1644,test
887,1649,test
888,1651,test
889,1653,test
890,1657,train
891,1663,train
892,1665,train
893,1670,train
894,1673,train
895,1674,train
896,1675,train
897,1676,train
898,1677,train
899,1678,train
900,1679,train
901,1681,train
902,1683,train
903,1685,train
904,1686,train
905,1687,train
906,1688,train
907,1689,train
908,1690,train
909,1692,train
910,1703,test
911,1705,test
912,1706,test
913,1707,test
914,1708,test
915,1709,train
916,1710,train
917,1711,train
918,1712,train
919,1713,train
920,1714,train
921,1715,train
922,1716,train
923,1719,train
924,1723,train
925,1724,train
926,1725,train
927,1726,train
928,1728,train
929,1733,train
930,1735,train
931,1736,test
932,1737,test
933,1738,test
934,1739,test
935,1741,test
936,1742,test
937,1743,test
938,1744,test
939,1745,test
940,1746,test
941,1747,test
942,1748,test
943,1749,test
944,1750,test
945,1751,test
946,1752,test
947,1753,test
948,1754,test
949,1755,test
950,1756,test
951,1757,test
952,1758,test
953,1759,test
954,1760,test
955,1761,test
956,1762,test
957,1763,test
958,1764,test
959,1765,test
960,1766,test
961,1767,test
962,1768,test
963,1769,test
964,1770,test
965,1771,test
966,1772,test
967,1773,test
968,1774,test
969,1775,test
970,1776,test
971,1777,test
972,1778,test
973,1779,test
974,1782,train
975,1786,train
976,1787,test
977,1790,test
978,1791,test
979,1792,test
980,1793,test
981,1794,train
982,1797,train
983,1799,train
984,1801,train
985,1803,train
986,1804,train
987,1805,train
988,1806,train
989,1807,train
990,1808,train
991,1809,train
992,1810,train
993,1812,train
994,1813,train
995,1814,train
996,1816,train
997,1817,train
998,1818,train
999,1819,train
1000,1820,train
1001,1821,train
1002,1822,train
1003,1823,test
1004,1827,test
1005,1829,test
1006,1831,test
1007,1832,train
1008,1833,train
1009,1835,train
1010,1837,train
1011,1839,test
1012,1841,validate
1013,1846,train
1014,1848,train
1015,1849,train
1016,1850,train
1017,1852,train
1018,1854,train
1019,1855,train
1020,1856,train
1021,1866,train
1022,1878,train
1023,1880,train
1024,1882,train
1025,1884,train
1026,1886,train
1027,1888,train
1028,1889,train
1029,1890,train
1030,1891,train
1031,1892,train
1032,1893,train
1033,1894,train
1034,1895,train
1035,1896,train
1036,1897,train
1037,1898,train
1038,1899,train
1039,1900,train
1040,1901,train
1041,1902,train
1042,1903,train
1043,1904,test
1044,1917,train
1045,1919,train
1046,1921,train
1047,1923,train
1048,1925,train
1049,1927,train
1050,1928,train
1051,1929,train
1052,1930,train
1053,1931,train
1054,1932,train
1055,1933,train
1056,1934,train
1057,1935,train
1058,1936,train
1059,1937,train
1060,1938,train
1061,1939,train
1062,1940,train
1063,1941,train
1064,1942,train
1065,1943,train
1066,1944,train
1067,1945,train
1068,1946,train
1069,1947,train
1070,1948,train
1071,1949,train
1072,1950,train
1073,1951,train
1074,1952,train
1075,1953,train
1076,1954,train
1077,1955,train
1078,1956,train
1079,1957,train
1080,1958,train
1081,1959,train
1082,1960,train
1083,1961,train
1084,1962,train
1085,1963,train
1086,1964,train
1087,1965,train
1088,1966,train
1089,1967,train
1090,1968,test
1091,1969,test
1092,1971,test
1093,1973,test
1094,1974,test
1095,1980,train
1096,1982,validate
1097,1984,train
1098,1986,train
1099,1994,train
1100,1995,train
1101,1998,train
1102,1999,train
1103,2000,train
1104,2001,train
1105,2002,train
1106,2004,train
1107,2006,train
1108,2010,test
1109,2012,test
1110,2013,test
1111,2014,test
1112,2015,test
1113,2016,test
1114,2017,test
1115,2018,test
1116,2019,test
1117,2020,test
1118,2021,test
1119,2022,test
1120,2023,test
1121,2025,test
1122,2027,test
1123,2028,test
1124,2034,test
1125,2035,train
1126,2036,train
1127,2039,train
1128,2040,train
1129,2042,train
1130,2043,train
1131,2044,test
1132,2045,test
1133,2046,test
1134,2048,test
1135,2049,test
1136,2050,test
1137,2053,train
1138,2054,train
1139,2055,train
1140,2056,train
1141,2065,validate
1142,2066,validate
1143,2067,validate
1144,2068,validate
1145,2069,train
1146,2070,train
1147,2071,train
1148,2072,train
1149,2073,train
1150,2074,train
1151,2075,train
1152,2083,validate
1153,2085,validate
1154,2087,validate
1155,2088,train
1156,2089,train
1157,2091,train
1158,2092,train
1159,2093,train
1160,2094,train
1161,2095,train
1162,2096,train
1163,2097,train
1164,2098,train
1165,2099,test
1166,2100,test
1167,2102,test
1168,2104,test
1169,2106,test
1170,2108,test
1171,2109,test
1172,2111,train
1173,2115,train
1174,2116,train
1175,2117,train
1176,2118,train
1177,2121,train
1178,2123,train
1179,2124,train
1180,2125,train
1181,2126,test
1182,2127,test
1183,2128,train
1184,2130,train
1185,2131,train
1186,2132,train
1187,2133,train
1188,2134,train
1189,2135,train
1190,2136,train
1191,2138,train
1192,2139,train
1193,2140,train
1194,2141,train
1195,2142,train
1196,2143,train
1197,2144,test
1198,2145,test
1199,2146,test
1200,2148,test
1201,2150,train
1202,2151,train
1203,2152,train
1204,2153,train
1205,2154,train
1206,2155,train
1207,2156,validate
1208,2166,test
1209,2169,test
1210,2170,test
1211,2171,test
1212,2173,test
1213,2174,train
1214,2183,test
1215,2186,train
1216,2187,train
1217,2189,train
1218,2194,test
1219,2196,test
1220,2198,test
1221,2199,test
1222,2201,test
1223,2203,test
1224,2204,train
1225,2206,train
1226,2208,train
1227,2210,train
1228,2211,train
1229,2213,train
1230,2215,train
1231,2216,train
1232,2218,train
1233,2220,train
1234,2222,train
1235,2224,train
1236,2225,train
1237,2226,train
1238,2227,train
1239,2228,train
1240,2229,train
1241,2230,train
1242,2232,train
1243,2233,train
1244,2234,train
1245,2246,train
1246,2248,train
1247,2249,train
1248,2250,test
1249,2252,test
1250,2257,test
1251,2258,test
1252,2259,test
1253,2261,train
1254,2262,train
1255,2272,train
1256,2274,train
1257,2275,train
1258,2276,train
1259,2277,train
1260,2278,train
1261,2279,train
1262,2280,train
1263,2282,train
1264,2283,train
1265,2284,train
1266,2285,test
1267,2286,train
1268,2288,train
1269,2290,train
1270,2295,train
1271,2297,train
1272,2298,train
1273,2299,validate
1274,2301,validate
1275,2303,train
1276,2304,train
1277,2305,train
1278,2306,test
1279,2307,test
1280,2309,test
1281,2311,train
1282,2312,train
1283,2313,train
1284,2314,test
1285,2315,test
1286,2316,train
1287,2317,train
1288,2318,train
1289,2319,train
1290,2320,train
1291,2321,train
1292,2323,train
1293,2324,train
1294,2325,train
1295,2326,train
1296,2327,train
1297,2328,train
1298,2329,train
1299,2330,train
1300,2332,train
1301,2333,test
1302,2334,test
1303,2339,train
1304,2340,train
1305,2342,train
1306,2344,train
1307,2345,train
1308,2346,train
1309,2347,train
1310,2348,train
1311,2363,train
1312,2364,train
1313,2365,train
1314,2366,train
1315,2367,test
1316,2371,test
1317,2373,test
1318,2375,train
1319,2377,train
1320,2384,train
1321,2392,train
1322,2393,train
1323,2394,train
1324,2395,train
1325,2396,train
1326,2397,train
1327,2398,train
1328,2399,train
1329,2402,test
1330,2404,test
1331,2406,test
1332,2415,train
1333,2417,train
1334,2419,train
1335,2421,test
1336,2422,test
1337,2423,test
1338,2424,test
1339,2425,test
1340,2426,test
1341,2429,validate
1342,2431,validate
1343,2439,validate
1344,2440,validate
1345,2452,train
1346,2453,train
1347,2454,train
1348,2455,train
1349,2456,test
1350,2457,test
1351,2459,train
1352,2461,train
1353,2462,train
1354,2463,train
1355,2465,test
1356,2466,test
1357,2467,train
1358,2469,train
1359,2471,train
1360,2472,train
1361,2473,train
1362,2474,train
1363,2475,train
1364,2476,train
1365,2480,train
1366,2482,train
1367,2484,train
1368,2485,train
1369,2487,train
1370,2488,train
1371,2489,train
1372,2490,train
1373,2491,train
1374,2492,train
1375,2493,train
1376,2495,train
1377,2496,train
1378,2497,train
1379,2498,train
1380,2499,train
1381,2500,train
1382,2501,train
1383,2502,train
1384,2503,train
1385,2504,train
1386,2514,train
1387,2516,validate
1388,2517,validate
1389,2566,train
1390,2568,train
1391,2569,test
1392,2570,test
1393,2571,test
1394,2574,train
1395,2576,train
1396,2577,train
1397,2578,train
1398,2579,train
1399,2580,train
1400,2581,train
1401,2583,test
1402,2585,test
1403,2589,test
1404,2591,test
1405,2592,test
1406,2600,validate
1407,2601,validate
1408,2602,validate
1409,2603,validate
1410,2604,validate
1411,2605,validate
1412,2606,validate
1413,2607,validate
1414,2608,test
1415,2609,validate
1416,2611,validate
1417,2612,validate
1418,2613,validate
1419,2614,train
1420,2617,train
1421,2621,train
1422,2622,train
1423,2623,train
1424,2629,test
1425,2630,train
1426,2631,train
1427,2632,train
1428,2633,train
1429,2634,train
1430,2635,train
1431,2636,train
1432,2639,train
1433,2643,test
1434,2645,test
1435,2646,train
1436,2648,validate
1437,2652,train
1438,2653,train
1439,2654,test
1440,2658,train
1441,2659,test
1442,2660,validate
1443,2662,validate
1444,2664,validate
1445,2666,validate
1446,2668,validate
1447,2670,validate
1448,2671,validate
1449,2672,validate
1450,2673,validate
1451,2674,validate
1452,2675,validate
1453,2676,validate
1454,2677,validate
1455,2678,validate
1456,2681,test
1457,2682,train
1458,2685,train
1459,2686,train
1460,2687,train
1461,2688,train
1462,2689,train
1463,2690,train
1464,2691,train
1465,2692,train
1466,2693,train
1467,2694,train
1468,2695,train
1469,2699,train
1470,2700,train
1471,2702,test
1472,2704,test
1473,2705,test
1474,2706,test
1475,2707,test
1476,2708,test
1477,2709,test
1478,2710,test
1479,2711,test
1480,2712,test
1481,2713,test
1482,2714,test
1483,2715,test
1484,2716,train
1485,2718,train
1486,2720,train
1487,2721,train
1488,2722,test
1489,2723,test
1490,2724,test
1491,2725,test
1492,2726,test
1493,2727,train
1494,2729,test
1495,2730,test
1496,2731,test
1497,2732,test
1498,2733,test
1499,2734,test
1500,2735,test
1501,2736,test
1502,2737,test
1503,2738,test
1504,2739,test
1505,2740,train
1506,2742,train
1507,2744,validate
1508,2745,validate
1509,2747,validate
1510,2748,validate
1511,2750,validate
1512,2752,validate
1513,2753,validate
1514,2754,validate
1515,2755,validate
1516,2756,validate
1517,2757,validate
1518,2758,validate
1519,2759,validate
1520,2760,train
1521,2761,test
1522,2762,test
1523,2764,test
1524,2766,test
1525,2767,test
1526,2768,test
1527,2769,test
1528,2770,test
1529,2771,test
1530,2772,test
1531,2773,test
1532,2774,test
1533,2775,test
1534,2776,test
1535,2777,test
1536,2778,test
1537,2779,test
1538,2780,test
1539,2781,test
1540,2782,train
1541,2784,train
1542,2785,train
1543,2788,train
1544,2789,train
1545,2790,train
1546,2791,train
1547,2792,train
1548,2793,train
1549,2794,train
1550,2795,train
1551,2796,train
1552,2797,train
1553,2798,train
1554,2799,train
1555,2800,train
1556,2801,train
1557,2802,train
1558,2803,train
1559,2804,train
1560,2806,test
1561,2808,test
1562,2810,test
1563,2812,test
1564,2814,test
1565,2815,test
1566,2816,test
1567,2817,test
1568,2818,test
1569,2819,test
1570,2820,test
1571,2821,test
1572,2822,test
1573,2823,test
1574,2824,test
1575,2825,test
1576,2826,test
1577,2827,test
1578,2828,test
1579,2829,test
1580,2830,test
1581,2831,test
1582,2832,test
1583,2833,test
1584,2834,test
1585,2835,test
1586,2836,test
1587,2837,test
1588,2838,test
1589,2839,test
1590,2840,test
1591,2841,test
1592,2843,test
1593,2844,test
1594,2845,test
1595,2846,test
1596,2848,test
1597,2849,test
1598,2850,test
1599,2852,test
1600,2853,test
1601,2854,test
1602,2855,test
1603,2856,test
1604,2857,test
1605,2858,test
1606,2859,test
1607,2860,test
1608,2861,test
1609,2862,test
1610,2863,test
1611,2864,train
1612,2866,train
1613,2867,train
1614,2868,train
1615,2869,train
1616,2870,train
1617,2871,train
1618,2872,train
1619,2873,train
1620,2874,train
1621,2875,train
1622,2876,test
1623,2878,test
1624,2883,train
1625,2885,train
1626,2887,train
1627,2888,train
1628,2889,train
1629,2890,train
1630,2891,train
1631,2892,train
1632,2893,train
1633,2894,train
1634,2896,train
1635,2897,train
1636,2898,train
1637,2899,train
1638,2900,train
1639,2902,train
1640,2903,train
1641,2904,train
1642,2905,train
1643,2906,train
1644,2907,train
1645,2908,train
1646,2909,train
1647,2910,train
1648,2911,train
1649,2912,train
1650,2913,train
1651,2914,train
1652,2915,train
1653,2916,train
1654,2917,train
1655,2919,train
1656,2921,train
1657,2922,train
1658,2923,train
1659,2925,train
1660,2926,train
1661,2929,test
1662,2931,test
1663,2932,test
1664,2933,test
1665,2937,train
1666,2938,train
1667,2940,test
1668,2942,train
1669,2945,test
1670,2947,test
1671,2949,test
1672,2951,test
1673,2952,test
1674,2953,test
1675,2954,test
1676,2955,train
1677,2956,train
1678,2957,train
1679,2958,train
1680,2959,train
1681,2960,train
1682,2961,train
1683,2962,validate
1684,2964,validate
1685,2966,validate
1686,2967,validate
1687,2968,validate
1688,2969,validate
1689,2970,validate
1690,2971,test
1691,2973,validate
1692,2975,train
1693,2977,train
1694,2980,test
1695,2983,train
1696,2985,test
1697,2986,test
1698,2987,train
1699,2988,train
1700,2989,validate
1701,2990,test
1702,2992,train
1703,2994,train
1704,2996,train
1705,3010,test
1706,3012,test
1707,3015,train
1708,3017,test
1709,3018,test
1710,3019,test
1711,3020,test
1712,3021,test
1713,3022,test
1714,3023,test
1715,3024,test
1716,3025,test
1717,3026,test
1718,3027,test
1719,3028,test
1720,3029,test
1721,3030,test
1722,3031,test
1723,3032,test
1724,3033,test
1725,3034,test
1726,3038,train
1727,3040,train
1728,3042,train
1729,3044,train
1730,3045,train
1731,3046,train
1732,3047,train
1733,3048,train
1734,3049,train
1735,3052,test
1736,3054,test
1737,3055,test
1738,3057,test
1739,3058,train
1740,3059,train
1741,3060,train
1742,3061,train
1743,3062,train
1744,3064,test
1745,3065,test
1746,3066,train
1747,3068,train
1748,3070,train
1749,3071,train
1750,3072,train
1751,3073,train
1752,3074,train
1753,3075,train
1754,3076,train
1755,3078,train
1756,3079,train
1757,3080,train
1758,3081,train
1759,3082,train
1760,3084,train
1761,3085,train
1762,3086,train
1763,3087,train
1764,3088,train
1765,3089,train
1766,3090,train
1767,3091,train
1768,3092,train
1769,3094,train
1770,3095,train
1771,3096,train
1772,3097,train
1773,3098,train
1774,3099,train
1775,3100,train
1776,3101,train
1777,3102,train
1778,3103,train
1779,3104,train
1780,3105,train
1781,3106,test
1782,3108,test
1783,3109,test
1784,3111,train
1785,3112,train
1786,3113,validate
1787,3114,validate
1788,3115,validate
1789,3116,validate
1790,3117,validate
1791,3118,validate
1792,3119,validate
1793,3120,validate
1794,3121,validate
1795,3128,test
1796,3146,train
1797,3148,test
1798,3149,test
1799,3150,train
1800,3152,train
1801,3153,train
1802,3154,train
1803,3155,train
1804,3156,train
1805,3157,train
1806,3158,train
1807,3159,train
1808,3160,train
1809,3161,train
1810,3162,train
1811,3163,train
1812,3165,train
1813,3166,train
1814,3167,train
1815,3168,train
1816,3169,train
1817,3170,train
1818,3171,train
1819,3174,train
1820,3175,train
1821,3176,train
1822,3185,train
1823,3187,train
1824,3189,train
1825,3190,train
1826,3191,train
1827,3192,test
1828,3193,test
1829,3194,test
1830,3195,test
1831,3196,test
1832,3197,test
1833,3210,train
1834,3212,train
1835,3213,train
1836,3214,test
1837,3216,train
1838,3218,train
1839,3220,train
1840,3222,train
1841,3224,train
1842,3226,train
1843,3227,train
1844,3230,train
1845,3231,train
1846,3239,train
1847,3241,train
1848,3242,train
1849,3243,train
1850,3244,train
1851,3245,train
1852,3247,test
1853,3249,train
1854,3251,test
1855,3252,test
1856,3253,train
1857,3255,train
1858,3261,train
1859,3262,train
1860,3264,train
1861,3266,train
1862,3267,validate
1863,3269,validate
1864,3272,test
1865,3273,test
1866,3274,train
1867,3276,train
1868,3277,train
1869,3278,train
1870,3279,train
1871,3280,train
1872,3281,train
1873,3282,train
1874,3283,train
1875,3284,train
1876,3288,test
1877,3290,validate
1878,3291,train
1879,3294,train
1880,3295,validate
1881,3297,validate
1882,3299,test
1883,3300,test
1884,3301,train
1885,3302,train
1886,3306,test
1887,3308,train
1888,3314,test
1889,3315,test
1890,3317,test
1891,3318,test
1892,3319,test
1893,3320,test
1894,3321,test
1895,3322,test
1896,3323,test
1897,3324,test
1898,3325,test
1899,3327,test
1900,3328,test
1901,3329,test
1902,3330,train
1903,3331,train
1904,3332,train
1905,3334,train
1906,3335,train
1907,3340,test
1908,3343,test
1909,3344,test
1910,3345,test
1911,3346,test
1912,3347,test
1913,3353,train
1914,3354,train
1915,3355,train
1916,3356,train
1917,3357,train
1918,3358,train
1919,3359,train
1920,3360,train
1921,3361,train
